"FIN_TYPE","Finance Type","MEASURE","Measure","LENDER","Lender","PURPOSE","Purpose","REGION","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-01","Jan-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-02","Feb-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-03","Mar-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-04","Apr-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-05","May-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-06","Jun-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-07","Jul-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-08","Aug-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-09","Sep-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-10","Oct-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","0","Australia","M","Monthly","2018-11","Nov-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","1","New South Wales","M","Monthly","2018-01","Jan-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","1","New South Wales","M","Monthly","2018-02","Feb-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","1","New South Wales","M","Monthly","2018-03","Mar-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","1","New South Wales","M","Monthly","2018-04","Apr-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","1","New South Wales","M","Monthly","2018-05","May-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
"3","Operating Lease Finance","2","Value of Commitments ($'000)","99","All Lenders","420_1","New cars and station wagons - under depreciation limit","1","New South Wales","M","Monthly","2018-06","Jun-2018",,"n","not available for publication but included in totals where applicable, unless otherwise indicated"
